source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID068_LOC_RC016005-5.00x5.00-Z Height_Forward-251002-CRO_14c4da10.tiff,particle_count_align_flatten_p95,particle_count,0,4,0,0,0.0,0.0,2.0535071108273792e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,15,4
PEGDA01TPO10SiNPSam02_S2_P__GrID069_LOC_RC016006-5.00x5.00-Z Height_Forward-251002-CRO_f5362d15.tiff,particle_count_align_flatten_p95,particle_count,0,6,0,0,0.0,0.0,2.3112475020660745e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,15,5
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,particle_count_align_flatten_p95,particle_count,0,14,0,0,0.0,0.0,2.4785559729242665e-09,percentile(95.0),1,350.0,550.0,900.0,512,512,15,9
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,particle_count_align_flatten_p95,particle_count,0,30,0,0,0.0,0.0,1.6518559632383192e-09,percentile(95.0),1,350.0,550.0,900.0,512,512,15,10
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,particle_count_align_flatten_p95,particle_count,0,30,0,0,0.0,0.0,1.4304035633793313e-09,percentile(95.0),0,350.0,550.0,900.0,512,512,15,11
PEGDA01TPO10SiNPSam02_S2_P__GrID073_LOC_RC016016-5.00x5.00-Z Height_Forward-251002-CRO_2117a566.tiff,particle_count_align_flatten_p95,particle_count,4,18,4,4,427.8981624898107,24.284081549850832,9.3702147953236e-08,percentile(95.0),1,350.0,550.0,900.0,512,512,15,15
PEGDA01TPO10SiNPSam02_S2_P__GrID074_LOC_RC016017-5.00x5.00-Z Height_Forward-251002-CRO_6cb40ae2.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,3.3892571342757285e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,15,16
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,particle_count_align_flatten_p95,particle_count,1,9,1,1,470.7458901270672,0.0,2.0591621127267452e-07,percentile(95.0),2,350.0,550.0,900.0,512,512,15,20
PEGDA01TPO10SiNPSam02_S2_P__GrID076_LOC_RC017001-5.00x5.00-Z Height_Forward-251002-CRO_991ec5d1.tiff,particle_count_align_flatten_p95,particle_count,1,5,1,1,373.03313618282374,0.0,6.328478348151449e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,16,0
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,particle_count_align_flatten_p95,particle_count,1,11,1,1,517.5566066139476,0.0,2.8384124189503593e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,16,4
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,particle_count_align_flatten_p95,particle_count,5,58,5,1,390.19195877674713,41.44728454565247,1.2636465441206172e-08,percentile(95.0),0,350.0,550.0,900.0,512,512,16,5
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,particle_count_align_flatten_p95,particle_count,0,11,0,0,0.0,0.0,2.6381203992441964e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,16,15
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,particle_count_align_flatten_p95,particle_count,0,6,0,0,0.0,0.0,3.5518682548163253e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,16,16
PEGDA01TPO10SiNPSam02_S2_P__GrID081_LOC_RC017021-5.00x5.00-Z Height_Forward-251002-CRO_b2f0a4b7.tiff,particle_count_align_flatten_p95,particle_count,0,2,0,0,0.0,0.0,4.5959872222307045e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,16,20
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,particle_count_align_flatten_p95,particle_count,0,1,0,0,0.0,0.0,1.5241675539657055e-06,percentile(95.0),0,350.0,550.0,900.0,512,512,19,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,particle_count_align_flatten_p95,particle_count,0,12,0,0,0.0,0.0,2.806758950212978e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,19,1
