source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID080_LOC_RC017001-5.00x5.00-Modulus_Backward-251102-CRO_18ee99bd.tiff,Modulus,Backward,80,251102,modulus_raw_three_sigma,modulus,226034558.29890844,64114485.079741515,kPa,246961,16,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID081_LOC_RC017005-5.00x5.00-Modulus_Backward-251102-CRO_0f2f14a7.tiff,Modulus,Backward,81,251102,modulus_raw_three_sigma,modulus,nan,nan,kPa,0,16,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID082_LOC_RC017006-5.00x5.00-Modulus_Backward-251102-CRO_6646514c.tiff,Modulus,Backward,82,251102,modulus_raw_three_sigma,modulus,57954412.09972398,21834956.622130934,kPa,246863,16,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID083_LOC_RC017016-5.00x5.00-Modulus_Backward-251102-CRO_97bc69ab.tiff,Modulus,Backward,83,251102,modulus_raw_three_sigma,modulus,623216580.1620456,94543044.6863165,kPa,256466,16,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID084_LOC_RC017017-5.00x5.00-Modulus_Backward-251102-CRO_fde8ffd4.tiff,Modulus,Backward,84,251102,modulus_raw_three_sigma,modulus,27852413.74047285,7705075.334659219,kPa,256556,16,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID085_LOC_RC017021-5.00x5.00-Modulus_Backward-251102-CRO_0cd31c1b.tiff,Modulus,Backward,85,251102,modulus_raw_three_sigma,modulus,133871065.44215117,39995929.63756131,kPa,250023,16,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID086_LOC_RC019008-5.00x5.00-Modulus_Backward-251102-CRO_01de43bd.tiff,Modulus,Backward,86,251102,modulus_raw_three_sigma,modulus,62084593.37402375,27690329.328826673,kPa,252042,18,7
PEGDA01TPO000SiNP_Sam01_S1_P__GrID087_LOC_RC019014-5.00x5.00-Modulus_Backward-251102-CRO_d5cfba62.tiff,Modulus,Backward,87,251102,modulus_raw_three_sigma,modulus,34671019.51298699,11201773.447739216,kPa,253107,18,13
PEGDA01TPO000SiNP_Sam01_S1_P__GrID088_LOC_RC020001-5.00x5.00-Modulus_Backward-251102-CRO_230075e7.tiff,Modulus,Backward,88,251102,modulus_raw_three_sigma,modulus,817657438.3750927,210074386.58504736,kPa,67036,19,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID089_LOC_RC020002-5.00x5.00-Modulus_Backward-251102-CRO_db04b8f4.tiff,Modulus,Backward,89,251102,modulus_raw_three_sigma,modulus,170306447.75259504,35748859.86246846,kPa,257268,19,1
